Module                  Size  Used by
exynos_flexpmu_dbg     28672  2 exynos_pm,exynos_cpupm,[permanent]
common_muic            32768  5 pdic_max77705,sec_battery,usb_notifier,usb_typec_manager,exynos_cpupm
switch_class           20480  4 snd_soc_dp_dma,exynos_drm,pdic_notifier_module,common_muic
usb_notify_layer      122880  11 sec_vibrator_inputff_module,max77705_charger,pdic_max77705,mfd_max77705,usb_notifier,dwc3_exynos_usb,exynos_usb_audio_offloading,usb_f_ss_mon_gadget,usb_typec_manager,pdic_notifier_module,common_muic
sec_class              20480  18 hall_ic,mesh,abc_hub,sec_debug_hw_param,sb_core,sec_bootstat,sec_thermistor,sec_pm_debug,rtc_s2mps25,ufs_exynos_core,sec_common_fn,s2mps26_regulator,s2mps25_regulator,sec_pm_cpufreq,exynos_thermal,abc,pdic_notifier_module,common_muic,[permanent]
ems                   430080  9 fimc_is,exynos_main_profiler,xperf,exynos_ufcc,exynos_acme,exynos_devfreq,sgpu,exynos_thermal,exynos_cpupm
sec_debug_mode         16384  5 sec_debug,sec_crash_key_user,sec_crash_key,ufs_exynos_core,sec_audio_debug
s3c2410_wdt            40960  2 sec_debug_wdd_info,[permanent]
exynos_mct_v2          24576  1 sec_bootstat
clk_exynos             45056  0 
cmupmucal            1912832  22 sec_debug_hw_param,nanohub,exynos_dsufreq,exynos_cpu_profiler,exynos_profiler_fn,exynos_bcm,gnssif,cpif,xperf,exynos_acme,exynos_devfreq,sgpu,exynos_bts,exynos_thermal,exynos_dm,exynos_pm,debug_snapshot_sfrdump,exynos_pd,exynos_sci,exynos_cpupm,ems,clk_exynos,[permanent]
exynos_adv_tracer      28672  5 exynos_bcm,ehld,exynos_adv_tracer_s2d,exynos_itmon,cmupmucal
exynos_pd_el3          16384  1 cmupmucal
exynos_el2             16384  0 
exynos_s2mpu           28672  9 npu,nanohub,exynos_mfc,gnssif,sgpu,snd_soc_samsung_vts,snd_soc_samsung_abox,imgloader,exynos_pd_el3
exynos_pm_qos         262144  27 sec_debug_test,sec_argos,npu,exynos_amb_control,scaler,smfc,mcfrc,exynos_mfc,gdc,fimc_is,cnss2,ufs_exynos_core,exynos_drm,exynos_mif_profiler,exynos_main_profiler,cpif,xperf,sec_pm_cpufreq,exynos_devfreq,sgpu,exynos_bts,exynos_thermal,dwc3_exynos_usb,snd_soc_samsung_abox,pcie_exynos_rc,cmupmucal,exynos_s2mpu,[permanent]
exynos_acpm            49152  16 nfc_sec_nxp,s2mps25_adc,cnss2,s2mpm07_regulator,cpif,s2mps26_regulator,s2mps25_regulator,exynos_devfreq,s2mps25_mfd,exynos_thermal,exynos_dm,plugin_dbg,exynos_sci,s2mpm07_mfd,s2mps26_mfd,cmupmucal
cmu_ewf                20480  2 fimc_is,cmupmucal
ect_parser             61440  8 exynos_dsufreq,gpu_cooling,cpif,exynos_acme,exynos_devfreq,exynos_thermal,ems,cmupmucal
sec_debug_extra_info    45056  14 sec_debug_hardlockup_info,sec_debug_reset_reason,sec_debug_hw_param,sec_debug_test,sec_battery,exynos_mfc,rtc_s2mps25,exynos_drm,samsung_iommu,s2mps25_regulator,exynos_pd,sec_audio_debug,exynos_itmon,cmupmucal,[permanent]
sec_debug_base_early    20480  4 sec_debug_wdd_info,sec_debug_dprm,sec_debug,sec_debug_extra_info
dss                   217088  54 sec_debug_sched_report,sec_debug_hardlockup_info,sec_debug_sched_info,sec_debug_dtask,sec_debug_test,sec_bootstat,sec_reboot,npu,nanohub,exynos_dsufreq,exynos_mfc,fimc_is,camerapp,exynos_drm,exynos_sdm,exynos_cm,exynos_bcm,gnssif,cpif,exynos_cpif_iommu,exynos_afm,exynos_acme,exynos_devfreq,sgpu,exynos_thermal,exynos_cpuhp,exynos_dm,ehld,exynos_adv_tracer_s2d,exynos_ecc_handler,debug_snapshot_qd,debug_snapshot_sfrdump,snd_soc_samsung_vts,snd_soc_samsung_abox,shm_ipc,exynos_sci,exynos_itmon,exynos_cpupm,sec_debug_mode,s3c2410_wdt,clk_exynos,cmupmucal,exynos_adv_tracer,exynos_el2,exynos_s2mpu,exynos_acpm,cmu_ewf,sec_debug_base_early
exynos_pmu_if          20480  15 sec_debug_test,sec_debug,fimc_is,ufs_exynos_core,gnssif,cpif,exynos_pm,exynos_adv_tracer_s2d,snd_soc_samsung_vts,snd_soc_samsung_abox,phy_exynos_mipi_dsim,exynos_cpupm,s3c2410_wdt,cmupmucal,dss
sec_debug_dprt         20480  1 sec_debug_base_early
exynos_reboot          16384  4 sec_debug_test,sec_reboot,s2mps25_regulator,exynos_acpm
exynos_chipid_v2       24576  8 sec_debug_hw_param,npu,ufs_exynos_core,exynos_drm,gnssif,sgpu,cmupmucal,exynos_reboot
